INFO 2023-08-15 17:49:46,012 autoreload Watching for file changes with StatReloader
INFO 2023-08-15 17:51:20,807 autoreload D:\python files\CJC_Final_Project\Loan_for_startup_business\Loan_for_startup_business\settings.py changed, reloading.
INFO 2023-08-15 17:51:21,612 autoreload Watching for file changes with StatReloader
INFO 2023-08-15 17:51:30,647 basehttp "POST /admin_app/allapplications/ HTTP/1.1" 200 925
INFO 2023-08-15 17:52:15,696 basehttp "POST /admin_app/allapplications/ HTTP/1.1" 200 925
INFO 2023-08-15 17:52:16,566 basehttp "POST /admin_app/allapplications/ HTTP/1.1" 200 925
INFO 2023-08-15 17:56:39,783 basehttp "POST /admin_app/allapplications/ HTTP/1.1" 200 925
INFO 2023-08-15 17:57:17,950 basehttp "POST /admin_app/allapplications/ HTTP/1.1" 200 925
INFO 2023-08-15 18:00:47,716 autoreload Watching for file changes with StatReloader
INFO 2023-08-15 18:00:58,605 basehttp "POST /admin_app/loginpage/ HTTP/1.1" 200 517
INFO 2023-08-15 18:01:03,051 basehttp "POST /admin_app/allapplications/ HTTP/1.1" 200 925
INFO 2023-08-15 18:02:40,496 basehttp "POST /admin_app/allapplications/ HTTP/1.1" 200 925
INFO 2023-08-15 18:03:36,284 basehttp "POST /admin_app/loginpage/ HTTP/1.1" 200 517
INFO 2023-08-15 18:03:39,613 basehttp "POST /admin_app/allapplications/ HTTP/1.1" 200 925
WARNING 2023-08-15 18:03:40,196 log Not Found: /media/photo/default_Fjb5Yfb.jpg
WARNING 2023-08-15 18:03:40,196 basehttp "GET /media/photo/default_Fjb5Yfb.jpg HTTP/1.1" 404 2408
INFO 2023-08-15 18:12:51,364 autoreload D:\python files\CJC_Final_Project\Loan_for_startup_business\Loan_for_startup_business\settings.py changed, reloading.
INFO 2023-08-15 18:12:52,173 autoreload Watching for file changes with StatReloader
INFO 2023-08-15 18:12:55,283 autoreload D:\python files\CJC_Final_Project\Loan_for_startup_business\Loan_for_startup_business\settings.py changed, reloading.
INFO 2023-08-15 18:18:13,321 autoreload Watching for file changes with StatReloader
INFO 2023-08-15 18:18:33,199 basehttp "POST /admin_app/allapplications/ HTTP/1.1" 200 925
INFO 2023-08-15 18:18:33,459 basehttp "GET /media/photo/default_Fjb5Yfb.jpg HTTP/1.1" 200 19118
INFO 2023-08-15 18:19:16,816 autoreload D:\python files\CJC_Final_Project\Loan_for_startup_business\Loan_for_startup_business\urls.py changed, reloading.
INFO 2023-08-15 18:19:17,520 autoreload Watching for file changes with StatReloader
INFO 2023-08-15 18:21:19,383 autoreload D:\python files\CJC_Final_Project\Loan_for_startup_business\Loan_for_startup_business\urls.py changed, reloading.
INFO 2023-08-15 18:21:20,124 autoreload Watching for file changes with StatReloader
INFO 2023-08-15 18:24:33,372 basehttp "POST /admin_app/allapplications/ HTTP/1.1" 200 925
INFO 2023-08-15 18:25:25,194 basehttp "POST /admin_app/allapplications/ HTTP/1.1" 200 925
INFO 2023-08-15 18:44:04,212 basehttp "POST /admin_app/allapplications/ HTTP/1.1" 200 925
INFO 2023-08-15 18:44:05,825 basehttp "POST /admin_app/allapplications/ HTTP/1.1" 200 2
INFO 2023-08-15 18:44:06,788 basehttp "POST /admin_app/allapplications/ HTTP/1.1" 200 925
INFO 2023-08-15 18:44:08,170 basehttp "POST /admin_app/allapplications/ HTTP/1.1" 200 2
INFO 2023-08-15 18:49:08,923 basehttp "POST /admin_app/allapplications/ HTTP/1.1" 200 925
INFO 2023-08-15 18:49:11,521 basehttp "POST /admin_app/allapplications/ HTTP/1.1" 200 925
INFO 2023-08-15 18:49:13,461 basehttp "POST /admin_app/allapplications/ HTTP/1.1" 200 2
INFO 2023-08-15 18:49:14,733 basehttp "POST /admin_app/allapplications/ HTTP/1.1" 200 2
INFO 2023-08-15 18:49:16,091 basehttp "POST /admin_app/allapplications/ HTTP/1.1" 200 925
INFO 2023-08-15 18:53:48,960 basehttp "POST /admin_app/allapplications/ HTTP/1.1" 200 925
INFO 2023-08-15 18:53:55,895 basehttp "POST /admin_app/allapplications/ HTTP/1.1" 200 925
INFO 2023-08-15 18:57:39,493 basehttp "POST /admin_app/allapplications/ HTTP/1.1" 200 925
INFO 2023-08-15 18:57:40,685 basehttp "POST /admin_app/allapplications/ HTTP/1.1" 200 2
INFO 2023-08-15 18:57:41,850 basehttp "POST /admin_app/allapplications/ HTTP/1.1" 200 925
INFO 2023-08-15 18:57:43,186 basehttp "POST /admin_app/allapplications/ HTTP/1.1" 200 2
INFO 2023-08-15 18:57:44,233 basehttp "POST /admin_app/allapplications/ HTTP/1.1" 200 925
INFO 2023-08-15 18:57:45,278 basehttp "POST /admin_app/allapplications/ HTTP/1.1" 200 2
